t1::A2::der aktienindex::original | t1 | A2 | der Aktienindex | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t1::C1::vertiefen::generated | t1 | C1 | vertiefen | generated | Hohe Preise vertiefen die soziale Ungleichheit.
t1::C1::verbinden::original | t1 | C1 | verbinden | original | Una política global que combina instrumentos de precios con inversiones en infraestructura.
t1::C1::verbinden::generated | t1 | C1 | verbinden | generated | Man muss Preisinstrumente mit sozialen Maßnahmen verbinden.
t1::C1::verteilungspolitisch::original | t1 | C1 | verteilungspolitisch | original | La respuesta es distributivamente compleja.
t1::C1::verteilungspolitisch::generated | t1 | C1 | verteilungspolitisch | generated | Das ist eine verteilungspolitisch heikle Frage.
t1::C1::einkommensschwach::original | t1 | C1 | einkommensschwach | original | Los altos precios perjudican a los hogares con pocos ingresos.
t1::C1::einkommensschwach::generated | t1 | C1 | einkommensschwach | generated | Einkommensschwache Haushalte können sich kein E-Auto leisten.
t1::C1::nachhaltig::original | t1 | C1 | nachhaltig | original | Una transición del transporte que profundiza esta brecha no es socialmente sostenible.
t1::C1::nachhaltig::generated | t1 | C1 | nachhaltig | generated | Eine sozial nachhaltige Lösung muss alle einschließen.
t1::C1::privilegiert::original | t1 | C1 | privilegiert | original | Sin este marco la transición del transporte sigue siendo un proyecto de los privilegiados.
t1::C1::privilegiert::generated | t1 | C1 | privilegiert | generated | Die Verkehrswende darf kein Projekt der Privilegierten bleiben.
t1::C1::wirksam::original | t1 | C1 | wirksam | original | ¿Son los altos precios de la energía el instrumento más eficaz?
t1::C1::wirksam::generated | t1 | C1 | wirksam | generated | Das ist das wirksamste Mittel zur Beschleunigung der Wende.
t1::C1::kurzfristig::original | t1 | C1 | kurzfristig | original | Muchos no tienen posibilidad de cambiar a corto plazo.
t1::C1::kurzfristig::generated | t1 | C1 | kurzfristig | generated | Ein kurzfristiger Umstieg ist für viele nicht möglich.
t1::C1::wohlhabend::original | t1 | C1 | wohlhabend | original | El crecimiento se concentra en regiones prósperas.
t1::C1::wohlhabend::generated | t1 | C1 | wohlhabend | generated | Wohlhabende Haushalte profitieren mehr von der Verkehrswende.
t1::C1::rational::original | t1 | C1 | rational | original | Los altos precios de la gasolina abren un incentivo racional para cambiar.
t1::C1::rational::generated | t1 | C1 | rational | generated | Das ist eine rationale Entscheidung in dieser Situation.
t1::C1::strukturell::original | t1 | C1 | strukturell | original | Precios récord: ¿corrección de mercado o transición estructural del transporte?
t1::C1::strukturell::generated | t1 | C1 | strukturell | generated | Das ist ein strukturelles Problem, kein kurzfristiges.
t2::A2::german::original | t2 | A2 | german | original | example_sentence_de
t2::A2::german::generated | t2 | A2 | german | generated | example_sentence_de_generated
t2::A2::der fussballverein::original | t2 | A2 | der Fußballverein | original | Der SC Freiburg ist ein Fußballverein aus Baden-Württemberg.
t2::A2::der fussballverein::generated | t2 | A2 | der Fußballverein | generated | Der Fußballverein hat viele treue Fans.
t2::A2::der wettbewerb::original | t2 | A2 | der Wettbewerb | original | Die Europa League ist ein wichtiger Wettbewerb in Europa.
t2::A2::der wettbewerb::generated | t2 | A2 | der Wettbewerb | generated | Das ist ein großer Wettbewerb für kleine Vereine.
t2::A2::das spiel::original | t2 | A2 | das Spiel | original | Das Spiel war spannend und wichtig für die nächste Runde.
t2::A2::das spiel::generated | t2 | A2 | das Spiel | generated | Das Spiel beginnt um 20 Uhr.
t2::A2::das stadion::original | t2 | A2 | das Stadion | original | Viele Fans haben das Spiel im Stadion gesehen.
t2::A2::das stadion::generated | t2 | A2 | das Stadion | generated | Das Stadion war voll mit Fans.
t2::A2::der fan::original | t2 | A2 | der Fan | original | Viele Fans haben das Spiel im Stadion gesehen.
t2::A2::der fan::generated | t2 | A2 | der Fan | generated | Die Fans sind sehr stolz auf ihren Verein.
t2::A2::die runde::original | t2 | A2 | die Runde | original | Das Spiel war wichtig für die nächste Runde.
t2::A2::die runde::generated | t2 | A2 | die Runde | generated | Freiburg kommt in die nächste Runde.
t2::A2::spielen::original | t2 | A2 | spielen | original | Freiburg jugó contra el Celta Vigo.
t2::A2::spielen::generated | t2 | A2 | spielen | generated | Der Verein spielt heute in Europa.
t2::A2::sehen::original | t2 | A2 | sehen | original | Muchos aficionados vieron el partido.
t2::A2::sehen::generated | t2 | A2 | sehen | generated | Ich habe das Spiel im Fernsehen gesehen.
t2::A2::spannend::original | t2 | A2 | spannend | original | El partido fue emocionante e importante.
t2::A2::spannend::generated | t2 | A2 | spannend | generated | Das war ein sehr spannendes Spiel.
t2::A2::stolz::original | t2 | A2 | stolz | original | Los aficionados están muy orgullosos.
t2::A2::stolz::generated | t2 | A2 | stolz | generated | Die Fans sind stolz auf ihren kleinen Verein.
t2::A2::wichtig::original | t2 | A2 | wichtig | original | El partido fue importante para la siguiente ronda.
t2::A2::wichtig::generated | t2 | A2 | wichtig | generated | Das ist ein sehr wichtiges Spiel für den Verein.
t2::A2::klein::original | t2 | A2 | klein | original | Freiburg es un club pequeño pero juega muy bien.
t2::A2::klein::generated | t2 | A2 | klein | generated | Es ist ein kleiner Verein mit großem Herz.
t2::A2::gut::original | t2 | A2 | gut | original | Freiburg juega muy bien.
t2::A2::gut::generated | t2 | A2 | gut | generated | Der Verein spielt gut, obwohl er klein ist.
t2::A2::nächst-::original | t2 | A2 | nächst- | original | El partido fue importante para la siguiente ronda.
t2::A2::nächst-::generated | t2 | A2 | nächst- | generated | In der nächsten Runde spielt Freiburg auswärts.
t2::A2::historisch::original | t2 | A2 | historisch | original | Es un partido histórico para el club.
t2::A2::historisch::generated | t2 | A2 | historisch | generated | Das ist ein historischer Moment für Freiburg.
t2::B1::german::original | t2 | B1 | german | original | example_sentence_de
t2::B1::german::generated | t2 | B1 | german | generated | example_sentence_de_generated
t2::B1::das viertelfinale::original | t2 | B1 | das Viertelfinale | original | Zum zweiten Mal hat sich der Verein für ein europäisches Viertelfinale qualifiziert.
t2::B1::das viertelfinale::generated | t2 | B1 | das Viertelfinale | generated | Das Viertelfinale ist die wichtigste Runde der Saison für Freiburg.
t2::B1::das hinspiel::original | t2 | B1 | das Hinspiel | original | Der SC Freiburg hat das Viertelfinal-Hinspiel gegen Celta Vigo bestritten.
t2::B1::das hinspiel::generated | t2 | B1 | das Hinspiel | generated | Das Hinspiel fand in Freiburg statt.
t2::B1::das rückspiel::original | t2 | B1 | das Rückspiel | original | Das Rückspiel findet in zwei Wochen in Vigo statt.
t2::B1::das rückspiel::generated | t2 | B1 | das Rückspiel | generated | Das Rückspiel in Vigo wird schwierig.
t2::B1::der aussenseiter::original | t2 | B1 | der Außenseiter | original | Freiburg gilt als Außenseiter.
t2::B1::der aussenseiter::generated | t2 | B1 | der Außenseiter | generated | Als Außenseiter hat Freiburg nichts zu verlieren.
t2::B1::das talent::original | t2 | B1 | das Talent | original | Besonderes Augenmerk lag auf dem 20-jährigen Talent Johan Manzambi.
t2::B1::das talent::generated | t2 | B1 | das Talent | generated | Das junge Talent hat eine starke Saison gespielt.
t2::B1::die saison::original | t2 | B1 | die Saison | original | Für den SC Freiburg ist es eine historische Saison.
t2::B1::die saison::generated | t2 | B1 | die Saison | generated | In dieser Saison hat der Verein alle überrascht.
t2::B1::die leistung::original | t2 | B1 | die Leistung | original | Johan Manzambi hat mit starken Leistungen auf sich aufmerksam gemacht.
t2::B1::die leistung::generated | t2 | B1 | die Leistung | generated | Seine Leistungen in dieser Saison sind beeindruckend.
t2::B1::bestreiten::original | t2 | B1 | bestreiten | original | El SC Freiburg disputó el partido de ida contra el Celta de Vigo.
t2::B1::bestreiten::generated | t2 | B1 | bestreiten | generated | Der Verein hat das Spiel gegen einen starken Gegner bestritten.
t2::B1::qualifizieren::original | t2 | B1 | qualifizieren | original | Por segunda vez el club se ha clasificado para unos cuartos de final.
t2::B1::qualifizieren::generated | t2 | B1 | qualifizieren | generated | Freiburg hat sich für das Viertelfinale qualifiziert.
t2::B1::mithalten::original | t2 | B1 | mithalten | original | Freiburg ha demostrado que puede competir con clubes grandes.
t2::B1::mithalten::generated | t2 | B1 | mithalten | generated | Der kleine Verein kann mit den Großen mithalten.
t2::B1::übertragen::original | t2 | B1 | übertragen | original | El partido fue retransmitido en directo por RTL.
t2::B1::übertragen::generated | t2 | B1 | übertragen | generated | Das Spiel wurde auf mehreren Sendern übertragen.
t2::B1::historisch::original | t2 | B1 | historisch | original | Para el SC Freiburg es una temporada histórica.
t2::B1::historisch::generated | t2 | B1 | historisch | generated | Das ist ein historischer Moment für den Verein.
t2::B1::europäisch::original | t2 | B1 | europäisch | original | Por segunda vez el club se ha clasificado para unos cuartos de final europeos.
t2::B1::europäisch::generated | t2 | B1 | europäisch | generated | Der Verein spielt auf europäischer Bühne.
t2::B1::live::original | t2 | B1 | live | original | El partido fue retransmitido en directo por RTL.
t2::B1::live::generated | t2 | B1 | live | generated | Das Spiel ist live im Fernsehen zu sehen.
t2::B1::stark::original | t2 | B1 | stark | original | Johan Manzambi ha llamado la atención con sus actuaciones destacadas.
t2::B1::stark::generated | t2 | B1 | stark | generated | Er hat eine sehr starke Saison gespielt.
t2::B2::german::original | t2 | B2 | german | original | example_sentence_de
t2::B2::german::generated | t2 | B2 | german | generated | example_sentence_de_generated
t2::B2::der provinzklub::original | t2 | B2 | der Provinzklub | original | Der SC Freiburg ist ein Provinzklub auf großer Bühne.
t2::B2::der provinzklub::generated | t2 | B2 | der Provinzklub | generated | Als Provinzklub hat Freiburg alle überrascht.
t2::B2::die nachwuchsförderung::original | t2 | B2 | die Nachwuchsförderung | original | Das Modell setzt auf Nachwuchsförderung statt Transferwahnsinn.
t2::B2::die nachwuchsförderung::generated | t2 | B2 | die Nachwuchsförderung | generated | Nachwuchsförderung ist der Schlüssel zum Erfolg in Freiburg.
t2::B2::die haushaltsführung::original | t2 | B2 | die Haushaltsführung | original | Das Modell steht für solide Haushaltsführung.
t2::B2::die haushaltsführung::generated | t2 | B2 | die Haushaltsführung | generated | Solide Haushaltsführung ermöglicht nachhaltigen Erfolg.
t2::B2::die kontinuität::original | t2 | B2 | die Kontinuität | original | Das Modell setzt auf Kontinuität im Trainerteam.
t2::B2::die kontinuität::generated | t2 | B2 | die Kontinuität | generated | Kontinuität ist ein Wettbewerbsvorteil für Freiburg.
t2::B2::die vorlage::original | t2 | B2 | die Vorlage | original | Johan Manzambi hat zwölf Tore und sieben Vorlagen erzielt.
t2::B2::die vorlage::generated | t2 | B2 | die Vorlage | generated | Er hat in dieser Saison sieben Vorlagen gegeben.
t2::B2::der kader::original | t2 | B2 | der Kader | original | Er ist der auffälligste Spieler im Kader von Trainer Brechtel.
t2::B2::der kader::generated | t2 | B2 | der Kader | generated | Der Kader des Vereins ist nicht der teuerste, aber einer der besten.
t2::B2::der halbfinaleinzug::original | t2 | B2 | der Halbfinaleinzug | original | Ein Halbfinaleinzug würde Millioneneinnahmen bedeuten.
t2::B2::der halbfinaleinzug::generated | t2 | B2 | der Halbfinaleinzug | generated | Der Halbfinaleinzug wäre historisch für den Verein.
t2::B2::aufschlagen::original | t2 | B2 | aufschlagen | original | Freiburg ha abierto otro capítulo de su historia.
t2::B2::aufschlagen::generated | t2 | B2 | aufschlagen | generated | Der Verein schlägt ein neues Kapitel in seiner Geschichte auf.
t2::B2::symbolisieren::original | t2 | B2 | symbolisieren | original | El club simboliza un modelo considerado anacrónico.
t2::B2::symbolisieren::generated | t2 | B2 | symbolisieren | generated | Freiburg symbolisiert nachhaltigen Fußball.
t2::B2::festhalten an::original | t2 | B2 | festhalten an | original | Freiburg sigue siendo fiel a su joven estrella.
t2::B2::festhalten an::generated | t2 | B2 | festhalten an | generated | Der Verein hält an seinem Modell fest.
t2::B2::bemerkenswert::original | t2 | B2 | bemerkenswert | original | El SC Freiburg tiene una notable historia europea.
t2::B2::bemerkenswert::generated | t2 | B2 | bemerkenswert | generated | Das ist eine bemerkenswerte Leistung für einen kleinen Verein.
t2::B2::auffällig::original | t2 | B2 | auffällig | original | Johan Manzambi es el jugador más destacado de la plantilla.
t2::B2::auffällig::generated | t2 | B2 | auffällig | generated | Er war der auffälligste Spieler des Abends.
t2::B2::anachronistisch::original | t2 | B2 | anachronistisch | original | El modelo se considera casi anacrónico en la economía del fútbol moderno.
t2::B2::anachronistisch::generated | t2 | B2 | anachronistisch | generated | Solide Haushaltsführung wirkt heute fast anachronistisch.
t2::B2::solide::original | t2 | B2 | solide | original | El modelo representa una gestión presupuestaria sólida.
t2::B2::solide::generated | t2 | B2 | solide | generated | Der Verein hat eine solide finanzielle Basis.
t2::B2::erheblich::original | t2 | B2 | erheblich | original | El partido tuvo también una importancia económica considerable.
t2::B2::erheblich::generated | t2 | B2 | erheblich | generated | Der Halbfinaleinzug wäre von erheblicher Bedeutung.
t2::C1::german::original | t2 | C1 | german | original | example_sentence_de
t2::C1::german::generated | t2 | C1 | german | generated | example_sentence_de_generated
t2::C1::der gegenentwurf::original | t2 | C1 | der Gegenentwurf | original | Das Vereinsprojekt repräsentiert einen strukturellen Gegenentwurf im europäischen Fußball.
t2::C1::der gegenentwurf::generated | t2 | C1 | der Gegenentwurf | generated | Freiburg gilt als Gegenentwurf zum Geldfußball.
t2::C1::die einnahmenstruktur::original | t2 | C1 | die Einnahmenstruktur | original | Freiburg hält die Personalkosten relativ zur Einnahmenstruktur niedrig.
t2::C1::die einnahmenstruktur::generated | t2 | C1 | die Einnahmenstruktur | generated | Die Einnahmenstruktur des Vereins ist auf Nachhaltigkeit ausgelegt.
t2::C1::der wettbewerbsvorteil::original | t2 | C1 | der Wettbewerbsvorteil | original | Freiburg setzt auf Trainerkontinuität als Wettbewerbsvorteil.
t2::C1::der wettbewerbsvorteil::generated | t2 | C1 | der Wettbewerbsvorteil | generated | Kontinuität ist ihr wichtigster Wettbewerbsvorteil.
t2::C1::die blaupause::original | t2 | C1 | die Blaupause | original | Was Freiburg zeigt, ist keine Blaupause für alle.
t2::C1::die blaupause::generated | t2 | C1 | die Blaupause | generated | Das Freiburg-Modell ist keine Blaupause für jeden Verein.
t2::C1::die geduldigkeit::original | t2 | C1 | die Geduldigkeit | original | Das Ergebnis ist die Frucht institutioneller Geduldigkeit.
t2::C1::die geduldigkeit::generated | t2 | C1 | die Geduldigkeit | generated | Institutionelle Geduldigkeit ist im modernen Fußball selten.
t2::C1::der marktwert::original | t2 | C1 | der Marktwert | original | Sein Marktwert wird auf über 40 Millionen Euro geschätzt.
t2::C1::der marktwert::generated | t2 | C1 | der Marktwert | generated | Der Marktwert von Manzambi ist in dieser Saison explodiert.
t2::C1::der petrodollar::original | t2 | C1 | der Petrodollar | original | Strukturelle Klugheit kann auch ohne Petrodollar wettbewerbsfähig sein.
t2::C1::der petrodollar::generated | t2 | C1 | der Petrodollar | generated | Nicht jeder Verein hat Zugang zu Petrodollars.
t2::C1::nahelegen::original | t2 | C1 | nahelegen | original | Los datos sugieren: bajo ciertas condiciones, sí.
t2::C1::nahelegen::generated | t2 | C1 | nahelegen | generated | Die Ergebnisse legen nahe, dass das Modell funktioniert.
t2::C1::repräsentieren::original | t2 | C1 | repräsentieren | original | El proyecto del club representa un modelo alternativo estructural.
t2::C1::repräsentieren::generated | t2 | C1 | repräsentieren | generated | Freiburg repräsentiert eine andere Art, Fußball zu betreiben.
t2::C1::aufwerfen::original | t2 | C1 | aufwerfen | original | Eso plantea una pregunta que va más allá del deporte.
t2::C1::aufwerfen::generated | t2 | C1 | aufwerfen | generated | Der Erfolg wirft grundlegende Fragen über den Fußball auf.
t2::C1::symptomatisch::original | t2 | C1 | symptomatisch | original | Johan Manzambi es sintomático de este enfoque.
t2::C1::symptomatisch::generated | t2 | C1 | symptomatisch | generated | Sein Fall ist symptomatisch für das Freiburg-Modell.
t2::C1::finanzdominiert::original | t2 | C1 | finanzdominiert | original | En el mundo del fútbol europeo cada vez más dominado por el dinero.
t2::C1::finanzdominiert::generated | t2 | C1 | finanzdominiert | generated | Der moderne Fußball ist zunehmend finanzdominiert.
t2::C1::wettbewerbsfähig::original | t2 | C1 | wettbewerbsfähig | original | La inteligencia estructural puede ser competitiva también sin petrodólares.
t2::C1::wettbewerbsfähig::generated | t2 | C1 | wettbewerbsfähig | generated | Freiburg ist wettbewerbsfähig ohne große Investitionen.
t2::C1::vorläufig::original | t2 | C1 | vorläufig | original | Este es el punto álgido provisional del proyecto del club.
t2::C1::vorläufig::generated | t2 | C1 | vorläufig | generated | Das ist der vorläufige Höhepunkt einer bemerkenswerten Saison.
t2::C1::gezielt::original | t2 | C1 | gezielt | original | Manzambi fue promovido de forma específica en la propia cantera.
t2::C1::gezielt::generated | t2 | C1 | gezielt | generated | Er wurde gezielt auf die große Bühne vorbereitet.
t2::C1::institutionell::original | t2 | C1 | institutionell | original | El resultado es el fruto de la paciencia institucional.
t2::C1::institutionell::generated | t2 | C1 | institutionell | generated | Das institutionelle Modell von Freiburg ist einzigartig.
t2::C1::effizient::original | t2 | C1 | effizient | original | Freiburg gestiona una de las secciones de cantera más eficientes de la Bundesliga.
t2::C1::effizient::generated | t2 | C1 | effizient | generated | Die Nachwuchsarbeit ist sehr effizient organisiert.
t2::C1::vereinbar::original | t2 | C1 | vereinbar | original | ¿Son compatibles la gestión sostenible y el éxito deportivo?
t2::C1::vereinbar::generated | t2 | C1 | vereinbar | generated | Nachhaltigkeit und Erfolg sind vereinbar.
t2::C1::nachhaltig::original | t2 | C1 | nachhaltig | original | ¿Son compatibles la gestión sostenible y el éxito deportivo?
t2::C1::nachhaltig::generated | t2 | C1 | nachhaltig | generated | Nachhaltiges Wirtschaften ist der Kern des Freiburg-Modells.
t2::C1::strukturell::original | t2 | C1 | strukturell | original | El proyecto del club representa un modelo alternativo estructural.
t2::C1::strukturell::generated | t2 | C1 | strukturell | generated | Das ist ein struktureller Vorteil gegenüber anderen Vereinen.
t3::A2::german::original | t3 | A2 | german | original | example_sentence_de
t3::A2::german::generated | t3 | A2 | german | generated | example_sentence_de_generated
t3::A2::das handy::original | t3 | A2 | das Handy | original | Viele Jugendliche benutzen ihr Handy sehr viel.
t3::A2::das handy::generated | t3 | A2 | das Handy | generated | Das Handy ist immer dabei.
t3::A2::die handysucht::original | t3 | A2 | die Handysucht | original | Das nennt man Handysucht.
t3::A2::die handysucht::generated | t3 | A2 | die Handysucht | generated | Handysucht ist ein großes Problem bei Jugendlichen.
t3::A2::das problem::original | t3 | A2 | das Problem | original | Handysucht ist ein Problem.
t3::A2::das problem::generated | t3 | A2 | das Problem | generated | Das ist ein großes Problem für viele Familien.
t3::A2::die sorge::original | t3 | A2 | die Sorge | original | Die Eltern machen sich Sorgen.
t3::A2::die sorge::generated | t3 | A2 | die Sorge | generated | Die Eltern haben große Sorgen wegen des Handys.
t3::A2::der freund::original | t3 | A2 | der Freund | original | Die Kinder treffen sich seltener mit Freunden.
t3::A2::der freund::generated | t3 | A2 | der Freund | generated | Er trifft sich weniger mit seinen Freunden.
t3::A2::der experte::original | t3 | A2 | der Experte | original | Experten sagen: Man soll das Handy nicht mehr als zwei Stunden benutzen.
t3::A2::der experte::generated | t3 | A2 | der Experte | generated | Der Experte empfiehlt eine Bildschirmzeit-Grenze.
t3::A2::der abend::original | t3 | A2 | der Abend | original | Am Abend soll man das Handy früh weglegen.
t3::A2::der abend::generated | t3 | A2 | der Abend | generated | Am Abend legt er sein Handy weg.
t3::A2::benutzen::original | t3 | A2 | benutzen | original | Muchos jóvenes usan su móvil muchísimo.
t3::A2::benutzen::generated | t3 | A2 | benutzen | generated | Er benutzt das Handy zu viel.
t3::A2::schlafen::original | t3 | A2 | schlafen | original | Los niños duermen mal.
t3::A2::schlafen::generated | t3 | A2 | schlafen | generated | Sie schläft schlecht wegen des Handys.
t3::A2::weglegen::original | t3 | A2 | weglegen | original | Por la noche se debe dejar el móvil pronto.
t3::A2::weglegen::generated | t3 | A2 | weglegen | generated | Leg das Handy weg und schlaf!
t3::A2::süchtig::original | t3 | A2 | süchtig | original | Muchos jóvenes son adictos a su móvil.
t3::A2::süchtig::generated | t3 | A2 | süchtig | generated | Er ist süchtig nach Social Media.
t3::A2::gesund::original | t3 | A2 | gesund | original | Eso es saludable.
t3::A2::gesund::generated | t3 | A2 | gesund | generated | Weniger Handyzeit ist gesund.
t3::A2::schlecht::original | t3 | A2 | schlecht | original | Los niños duermen mal.
t3::A2::schlecht::generated | t3 | A2 | schlecht | generated | Schlechter Schlaf ist ein Problem.
t3::A2::selten::original | t3 | A2 | selten | original | Los niños se ven menos con amigos.
t3::A2::selten::generated | t3 | A2 | selten | generated | Er trifft Freunde immer seltener.
t3::A2::jung::original | t3 | A2 | jung | original | Muchos niños y jóvenes usan su móvil muchísimo.
t3::A2::jung::generated | t3 | A2 | jung | generated | Junge Menschen sind besonders betroffen.
t3::B1::german::original | t3 | B1 | german | original | example_sentence_de
t3::B1::german::generated | t3 | B1 | german | generated | example_sentence_de_generated
t3::B1::die studie::original | t3 | B1 | die Studie | original | Eine neue Studie zeigt: Mehr als ein Drittel der Jugendlichen zeigt Anzeichen von Handysucht.
t3::B1::die studie::generated | t3 | B1 | die Studie | generated | Die Studie zeigt alarmierende Ergebnisse.
t3::B1::der schlafmangel::original | t3 | B1 | der Schlafmangel | original | Die Folgen sind deutlich: Schlafmangel und schlechtere Schulleistungen.
t3::B1::der schlafmangel::generated | t3 | B1 | der Schlafmangel | generated | Schlafmangel ist eine häufige Folge der Handysucht.
t3::B1::die aufmerksamkeit::original | t3 | B1 | die Aufmerksamkeit | original | Die Algorithmen sind darauf ausgelegt, die Aufmerksamkeit so lange wie möglich zu halten.
t3::B1::die aufmerksamkeit::generated | t3 | B1 | die Aufmerksamkeit | generated | Die Aufmerksamkeit der Jugendlichen wird von Apps gesteuert.
t3::B1::die medienkompetenz::original | t3 | B1 | die Medienkompetenz | original | Schulen sollen das Thema Medienkompetenzen stärker in den Unterricht integrieren.
t3::B1::die medienkompetenz::generated | t3 | B1 | die Medienkompetenz | generated | Medienkompetenz ist heute eine wichtige Fähigkeit.
t3::B1::das verbot::original | t3 | B1 | das Verbot | original | Experten empfehlen gemeinsame Regeln statt Verbote.
t3::B1::das verbot::generated | t3 | B1 | das Verbot | generated | Verbote allein lösen das Problem nicht.
t3::B1::die nutzungszeit::original | t3 | B1 | die Nutzungszeit | original | Social-Media-Apps sind für die langen Nutzungszeiten verantwortlich.
t3::B1::die nutzungszeit::generated | t3 | B1 | die Nutzungszeit | generated | Die durchschnittliche Nutzungszeit steigt jedes Jahr.
t3::B1::die gewohnheit::original | t3 | B1 | die Gewohnheit | original | Das Smartphone wird zur Gewohnheit.
t3::B1::die gewohnheit::generated | t3 | B1 | die Gewohnheit | generated | Das Handy täglich zu benutzen ist eine schlechte Gewohnheit.
t3::B1::ansprechen::original | t3 | B1 | ansprechen | original | Muchos padres no saben cómo abordar el tema.
t3::B1::ansprechen::generated | t3 | B1 | ansprechen | generated | Eltern müssen das Thema offen ansprechen.
t3::B1::integrieren::original | t3 | B1 | integrieren | original | Las escuelas deben integrar más el tema en las clases.
t3::B1::integrieren::generated | t3 | B1 | integrieren | generated | Das Thema sollte in den Unterricht integriert werden.
t3::B1::greifen zu::original | t3 | B1 | greifen zu | original | Recurren al móvil de media cada siete minutos.
t3::B1::greifen zu::generated | t3 | B1 | greifen zu | generated | Er greift zum Handy, sobald er eine Minute frei hat.
t3::B1::problematisch::original | t3 | B1 | problematisch | original | Más de un tercio muestra señales de uso problemático del smartphone.
t3::B1::problematisch::generated | t3 | B1 | problematisch | generated | Das ist eine problematische Entwicklung.
t3::B1::sozial::original | t3 | B1 | sozial | original | Hay menos contactos sociales en el mundo real.
t3::B1::sozial::generated | t3 | B1 | sozial | generated | Soziale Kontakte leiden unter der Handysucht.
t3::B1::gemeinsam::original | t3 | B1 | gemeinsam | original | Los expertos recomiendan reglas conjuntas en lugar de prohibiciones.
t3::B1::gemeinsam::generated | t3 | B1 | gemeinsam | generated | Gemeinsame Regeln helfen mehr als Verbote.
t3::B1::durchschnittlich::original | t3 | B1 | durchschnittlich | original | Recurren al móvil de media cada siete minutos.
t3::B1::durchschnittlich::generated | t3 | B1 | durchschnittlich | generated | Jugendliche nutzen ihr Handy durchschnittlich fünf Stunden täglich.
t3::B1::handyfrei::original | t3 | B1 | handyfrei | original | Los expertos recomiendan momentos sin móvil durante las comidas.
t3::B1::handyfrei::generated | t3 | B1 | handyfrei | generated | Handyfreie Zeiten sind wichtig für die Familie.
t3::B2::german::original | t3 | B2 | german | original | example_sentence_de
t3::B2::german::generated | t3 | B2 | german | generated | example_sentence_de_generated
t3::B2::die abhängigkeit::original | t3 | B2 | die Abhängigkeit | original | Digitale Abhängigkeit: Wenn das Smartphone Jugendliche steuert.
t3::B2::die abhängigkeit::generated | t3 | B2 | die Abhängigkeit | generated | Die digitale Abhängigkeit nimmt bei Jugendlichen zu.
t3::B2::die schlafstörung::original | t3 | B2 | die Schlafstörung | original | Die psychologischen Auswirkungen sind: Schlafstörungen und erhöhte Angstzustände.
t3::B2::die schlafstörung::generated | t3 | B2 | die Schlafstörung | generated | Schlafstörungen sind eine häufige Folge exzessiver Handynutzung.
t3::B2::die verstärkung::original | t3 | B2 | die Verstärkung | original | Besonders problematisch gilt die sogenannte variable Verstärkung.
t3::B2::die verstärkung::generated | t3 | B2 | die Verstärkung | generated | Variable Verstärkung macht Apps besonders suchterzeugende.
t3::B2::die benachrichtigung::original | t3 | B2 | die Benachrichtigung | original | Unvorhersehbare Belohnungen – Likes, neue Inhalte, Benachrichtigungen.
t3::B2::die benachrichtigung::generated | t3 | B2 | die Benachrichtigung | generated | Benachrichtigungen unterbrechen die Konzentration ständig.
t3::B2::das hindernis::original | t3 | B2 | das Hindernis | original | Präventionskonzepte stoßen auf strukturelle Hindernisse.
t3::B2::das hindernis::generated | t3 | B2 | das Hindernis | generated | Strukturelle Hindernisse erschweren die Prävention.
t3::B2::die einschränkung::original | t3 | B2 | die Einschränkung | original | Einige Bundesländer diskutieren gesetzliche Einschränkungen für unter 16-Jährige.
t3::B2::die einschränkung::generated | t3 | B2 | die Einschränkung | generated | Gesetzliche Einschränkungen werden in mehreren Ländern diskutiert.
t3::B2::die erhebung::original | t3 | B2 | die Erhebung | original | Die jüngste Erhebung der Bundeszentrale zeichnet ein beunruhigendes Bild.
t3::B2::die erhebung::generated | t3 | B2 | die Erhebung | generated | Die Erhebung zeigt alarmierende Zahlen zur Handynutzung.
t3::B2::hindeuten auf::original | t3 | B2 | hindeuten auf | original | El 34 por ciento cumple criterios que apuntan a un uso problemático.
t3::B2::hindeuten auf::generated | t3 | B2 | hindeuten auf | generated | Die Daten deuten auf ein wachsendes Problem hin.
t3::B2::aktivieren::original | t3 | B2 | aktivieren | original | Las recompensas activan el mismo sistema neurológico de recompensa que los juegos de azar.
t3::B2::aktivieren::generated | t3 | B2 | aktivieren | generated | Likes aktivieren das Belohnungssystem im Gehirn.
t3::B2::steuern::original | t3 | B2 | steuern | original | Cuando el smartphone controla a los jóvenes.
t3::B2::steuern::generated | t3 | B2 | steuern | generated | Algorithmen steuern das Verhalten der Nutzer.
t3::B2::beunruhigend::original | t3 | B2 | beunruhigend | original | El estudio más reciente presenta un panorama preocupante.
t3::B2::beunruhigend::generated | t3 | B2 | beunruhigend | generated | Das ist eine beunruhigende Entwicklung.
t3::B2::neurologisch::original | t3 | B2 | neurologisch | original | Las recompensas activan el mismo sistema neurológico de recompensa.
t3::B2::neurologisch::generated | t3 | B2 | neurologisch | generated | Das neurologische Belohnungssystem reagiert auf Likes.
t3::B2::beträchtlich::original | t3 | B2 | beträchtlich | original | Una parte considerable del uso tiene lugar después de medianoche.
t3::B2::beträchtlich::generated | t3 | B2 | beträchtlich | generated | Ein beträchtlicher Teil der Jugendlichen nutzt das Handy nachts.
