t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t5::C1::gegenseitig::generated | t5 | C1 | gegenseitig | generated | Die Effekte verstärken sich gegenseitig und werden extremer.
t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t1::A2::german::generated | t1 | A2 | german | generated | example_sentence_de_generated
t1::A2::das benzin::original | t1 | A2 | das Benzin | original | In Deutschland kostet Benzin gerade sehr viel Geld.
t1::A2::das benzin::generated | t1 | A2 | das Benzin | generated | Das Benzin ist diese Woche sehr teuer.
t1::A2::der preis::original | t1 | A2 | der Preis | original | Der Preis ist auf einem Rekord.
t1::A2::der preis::generated | t1 | A2 | der Preis | generated | Der Preis für Benzin steigt immer weiter.
t1::A2::das elektroauto::original | t1 | A2 | das Elektroauto | original | Immer mehr Menschen kaufen ein Elektroauto.
t1::A2::das elektroauto::generated | t1 | A2 | das Elektroauto | generated | Das Elektroauto braucht keinen Benzin.
t1::A2::der strom::original | t1 | A2 | der Strom | original | Das Elektroauto braucht nur Strom.
t1::A2::der strom::generated | t1 | A2 | der Strom | generated | Strom ist billiger als Benzin.
t1::A2::der staat::original | t1 | A2 | der Staat | original | Es gibt Geld vom Staat für neue E-Autos.
t1::A2::der staat::generated | t1 | A2 | der Staat | generated | Der Staat hilft beim Kauf von Elektroautos.
t1::A2::die bundesregierung::original | t1 | A2 | die Bundesregierung | original | Die Bundesregierung möchte, dass mehr Menschen Elektroautos kaufen.
t1::A2::die bundesregierung::generated | t1 | A2 | die Bundesregierung | generated | Die Bundesregierung plant neue Maßnahmen.
t1::A2::das auto::original | t1 | A2 | das Auto | original | Viele Menschen müssen mehr bezahlen, wenn sie Auto fahren.
t1::A2::das auto::generated | t1 | A2 | das Auto | generated | Das Auto fährt mit Benzin oder Strom.
t1::A2::bezahlen::original | t1 | A2 | bezahlen | original | Muchas personas tienen que pagar más cuando conducen.
t1::A2::bezahlen::generated | t1 | A2 | bezahlen | generated | Er bezahlt jeden Monat mehr für Benzin.
t1::A2::kaufen::original | t1 | A2 | kaufen | original | Cada vez más personas compran un coche eléctrico.
t1::A2::kaufen::generated | t1 | A2 | kaufen | generated | Sie kauft ein neues Elektroauto.
t1::A2::brauchen::original | t1 | A2 | brauchen | original | El coche eléctrico solo necesita electricidad.
t1::A2::brauchen::generated | t1 | A2 | brauchen | generated | Wir brauchen mehr Ladesäulen.
t1::A2::teuer::original | t1 | A2 | teuer | original | La gasolina es cara.
t1::A2::teuer::generated | t1 | A2 | teuer | generated | Das Benzin wird immer teurer.
t1::A2::billig::original | t1 | A2 | billig | original | La electricidad es más barata.
t1::A2::billig::generated | t1 | A2 | billig | generated | Elektroautos sind im Betrieb billiger als Benziner.
t1::A2::neu::original | t1 | A2 | neu | original | Muchas marcas de coches tienen modelos eléctricos nuevos.
t1::A2::neu::generated | t1 | A2 | neu | generated | Es gibt viele neue E-Autos auf dem Markt.
t1::A2::viel::original | t1 | A2 | viel | original | En Alemania la gasolina cuesta ahora mucho dinero.
t1::A2::viel::generated | t1 | A2 | viel | generated | Er fährt sehr viel mit dem Auto.
t1::A2::mehr::original | t1 | A2 | mehr | original | Cada vez más personas compran un coche eléctrico.
t1::A2::mehr::generated | t1 | A2 | mehr | generated | Immer mehr Leute kaufen E-Autos.
t1::B1::german::original | t1 | B1 | german | original | example_sentence_de
t1::B1::german::generated | t1 | B1 | german | generated | example_sentence_de_generated
t1::B1::der spritpreis::original | t1 | B1 | der Spritpreis | original | Die Spritpreise haben einen neuen Höchststand erreicht.
t1::B1::der spritpreis::generated | t1 | B1 | der Spritpreis | generated | Die Spritpreise steigen jeden Monat.
t1::B1::der höchststand::original | t1 | B1 | der Höchststand | original | Die Benzin- und Dieselpreise haben einen neuen Höchststand erreicht.
t1::B1::der höchststand::generated | t1 | B1 | der Höchststand | generated | Der Höchststand wurde im April erreicht.
t1::B1::die nachfrage::original | t1 | B1 | die Nachfrage | original | Die Nachfrage nach Elektroautos steigt.
t1::B1::die nachfrage::generated | t1 | B1 | die Nachfrage | generated | Die Nachfrage nach E-Autos wächst stark.
t1::B1::die ladesäule::original | t1 | B1 | die Ladesäule | original | In vielen ländlichen Regionen fehlen noch ausreichend Ladesäulen.
t1::B1::die ladesäule::generated | t1 | B1 | die Ladesäule | generated | Es braucht mehr Ladesäulen auf dem Land.
t1::B1::die ladeinfrastruktur::original | t1 | B1 | die Ladeinfrastruktur | original | Der Trend wird anhalten, wenn die Ladeinfrastruktur verbessert wird.
t1::B1::die ladeinfrastruktur::generated | t1 | B1 | die Ladeinfrastruktur | generated | Die Ladeinfrastruktur muss ausgebaut werden.
t1::B1::der verbraucher::original | t1 | B1 | der Verbraucher | original | Verbraucher spüren das besonders beim Pendeln.
t1::B1::der verbraucher::generated | t1 | B1 | der Verbraucher | generated | Der Verbraucher zahlt mehr für Benzin.
t1::B1::das quartal::original | t1 | B1 | das Quartal | original | Im ersten Quartal 2026 wurden mehr E-Autos verkauft.
t1::B1::das quartal::generated | t1 | B1 | das Quartal | generated | Im ersten Quartal stiegen die Verkäufe um 18 Prozent.
t1::B1::pendeln::original | t1 | B1 | pendeln | original | Los consumidores lo notan especialmente al ir al trabajo.
t1::B1::pendeln::generated | t1 | B1 | pendeln | generated | Er pendelt jeden Tag 40 Kilometer zur Arbeit.
t1::B1::anhalten::original | t1 | B1 | anhalten | original | Los expertos dicen que la tendencia continuará.
t1::B1::anhalten::generated | t1 | B1 | anhalten | generated | Der Trend zum E-Auto hält an.
t1::B1::schaffen::original | t1 | B1 | schaffen | original | El programa debe crear un millón de puntos de carga.
t1::B1::schaffen::generated | t1 | B1 | schaffen | generated | Die Regierung will mehr Ladepunkte schaffen.
t1::B1::ankündigen::original | t1 | B1 | ankündigen | original | El gobierno federal ha anunciado un programa de expansión.
t1::B1::ankündigen::generated | t1 | B1 | ankündigen | generated | Die Regierung hat neue Maßnahmen angekündigt.
t1::B1::direkt::original | t1 | B1 | direkt | original | Los altos precios de la gasolina tienen una consecuencia directa.
t1::B1::direkt::generated | t1 | B1 | direkt | generated | Das hat eine direkte Auswirkung auf die Nachfrage.
t1::B1::ländlich::original | t1 | B1 | ländlich | original | En muchas regiones rurales faltan puntos de carga.
t1::B1::ländlich::generated | t1 | B1 | ländlich | generated | In ländlichen Gebieten gibt es weniger Ladesäulen.
t1::B1::öffentlich::original | t1 | B1 | öffentlich | original | El programa debe crear un millón de puntos de carga públicos.
t1::B1::öffentlich::generated | t1 | B1 | öffentlich | generated | Es braucht mehr öffentliche Lademöglichkeiten.
t1::B1::günstig::original | t1 | B1 | günstig | original | Especialmente populares son los modelos más económicos.
t1::B1::günstig::generated | t1 | B1 | günstig | generated | Günstige E-Autos sind sehr gefragt.
t1::B2::german::original | t1 | B2 | german | original | example_sentence_de
t1::B2::german::generated | t1 | B2 | german | generated | example_sentence_de_generated
t1::B2::der kraftstoffpreis::original | t1 | B2 | der Kraftstoffpreis | original | Deutschland erlebt die höchsten Kraftstoffpreise seit Beginn der Aufzeichnungen.
t1::B2::der kraftstoffpreis::generated | t1 | B2 | der Kraftstoffpreis | generated | Die Kraftstoffpreise steigen wegen der geopolitischen Lage.
t1::B2::die neuzulassung::original | t1 | B2 | die Neuzulassung | original | Die Neuzulassungen von Elektrofahrzeugen stiegen um 18,4 Prozent.
t1::B2::die neuzulassung::generated | t1 | B2 | die Neuzulassung | generated | Die Neuzulassungen von E-Autos erreichen einen Rekord.
t1::B2::die belastung::original | t1 | B2 | die Belastung | original | Die wirtschaftliche Belastung für Pendler ist erheblich.
t1::B2::die belastung::generated | t1 | B2 | die Belastung | generated | Die Belastung durch hohe Spritpreise trifft ärmere Haushalte stärker.
t1::B2::die anschaffungskosten::original | t1 | B2 | die Anschaffungskosten | original | Viele Haushalte können sich die Anschaffungskosten nicht leisten.
t1::B2::die anschaffungskosten::generated | t1 | B2 | die Anschaffungskosten | generated | Die Anschaffungskosten für E-Autos sind noch hoch.
t1::B2::der rohstoffengpass::original | t1 | B2 | der Rohstoffengpass | original | Ursache ist eine Kombination aus globalen Rohstoffengpässen.
t1::B2::der rohstoffengpass::generated | t1 | B2 | der Rohstoffengpass | generated | Rohstoffengpässe treiben die Energiepreise in die Höhe.
t1::B2::die co2-bepreisung::original | t1 | B2 | die CO2-Bepreisung | original | Die CO2-Bepreisung wurde zum Jahresanfang erneut angehoben.
t1::B2::die co2-bepreisung::generated | t1 | B2 | die CO2-Bepreisung | generated | Die CO2-Bepreisung macht fossile Energie teurer.
t1::B2::die elektromobilität::original | t1 | B2 | die Elektromobilität | original | Der Umstieg auf Elektromobilität vollzieht sich vor allem in Städten.
t1::B2::die elektromobilität::generated | t1 | B2 | die Elektromobilität | generated | Elektromobilität ist kein Thema für strukturschwache Regionen.
t1::B2::umsteigen::original | t1 | B2 | umsteigen | original | Eso intensifica la presión para pasarse a alternativas sin emisiones.
t1::B2::umsteigen::generated | t1 | B2 | umsteigen | generated | Viele Pendler wollen auf E-Autos umsteigen.
t1::B2::überholen::original | t1 | B2 | überholen | original | Por primera vez los coches eléctricos superaron a los diésel en cifras de ventas.
t1::B2::überholen::generated | t1 | B2 | überholen | generated | E-Autos haben Diesel in den Neuzulassungen überholt.
t1::B2::verstärken::original | t1 | B2 | verstärken | original | Eso intensifica la presión para pasarse a alternativas.
t1::B2::verstärken::generated | t1 | B2 | verstärken | generated | Hohe Preise verstärken den Trend zum E-Auto.
t1::B2::lückenhaft::original | t1 | B2 | lückenhaft | original | La infraestructura de carga sigue siendo incompleta.
t1::B2::lückenhaft::generated | t1 | B2 | lückenhaft | generated | Das Ladenetz in ländlichen Regionen ist noch sehr lückenhaft.
t1::B2::fragil::original | t1 | B2 | fragil | original | El despegue del mercado de coches eléctricos sigue siendo frágil.
t1::B2::fragil::generated | t1 | B2 | fragil | generated | Das Wachstum ist noch fragil und hängt von der Politik ab.
t1::B2::emissionsfrei::original | t1 | B2 | emissionsfrei | original | Eso intensifica la presión para pasarse a alternativas sin emisiones.
t1::B2::emissionsfrei::generated | t1 | B2 | emissionsfrei | generated | E-Autos gelten als emissionsfreie Alternative.
t1::B2::strukturschwach::original | t1 | B2 | strukturschwach | original | La infraestructura de carga en regiones desfavorecidas es incompleta.
t1::B2::strukturschwach::generated | t1 | B2 | strukturschwach | generated | In strukturschwachen Regionen fehlen Ladesäulen besonders.
t1::B2::geopolitisch::original | t1 | B2 | geopolitisch | original | La causa es la situación geopolítica persistente en Oriente Próximo.
t1::B2::geopolitisch::generated | t1 | B2 | geopolitisch | generated | Die geopolitische Lage beeinflusst die Energiepreise stark.
t1::C1::german::original | t1 | C1 | german | original | example_sentence_de
t1::C1::german::generated | t1 | C1 | german | generated | example_sentence_de_generated
t1::C1::die verkehrswende::original | t1 | C1 | die Verkehrswende | original | Sind hohe Energiepreise das wirksamste Instrument zur Beschleunigung der Mobilitätswende?
t1::C1::die verkehrswende::generated | t1 | C1 | die Verkehrswende | generated | Die Verkehrswende braucht mehr als hohe Spritpreise.
t1::C1::der umstiegsanreiz::original | t1 | C1 | der Umstiegsanreiz | original | Hohe Spritpreise eröffnen einen rationalen Umstiegsanreiz.
t1::C1::der umstiegsanreiz::generated | t1 | C1 | der Umstiegsanreiz | generated | Ohne Umstiegsanreize bleibt die Verkehrswende ein Wunsch.
t1::C1::die kostensteigerung::original | t1 | C1 | die Kostensteigerung | original | Für Pendlerinnen sind dieselben Preise schlicht eine Kostensteigerung ohne Alternative.
t1::C1::die kostensteigerung::generated | t1 | C1 | die Kostensteigerung | generated | Die Kostensteigerung trifft einkommensschwache Haushalte am härtesten.
t1::C1::die spaltung::original | t1 | C1 | die Spaltung | original | Eine Mobilitätswende, die diese Spaltung vertieft, ist sozial nicht nachhaltig.
t1::C1::die spaltung::generated | t1 | C1 | die Spaltung | generated | Die Spaltung zwischen Stadt und Land wächst.
t1::C1::die kompensation::original | t1 | C1 | die Kompensation | original | Was fehlt, ist eine Gesamtpolitik mit gezielter sozialer Kompensation.
t1::C1::die kompensation::generated | t1 | C1 | die Kompensation | generated | Soziale Kompensation ist nötig, damit die Wende gerecht ist.
t1::C1::das preisinstrument::original | t1 | C1 | das Preisinstrument | original | Eine Gesamtpolitik, die Preisinstrumente mit Infrastrukturinvestitionen verbindet.
t1::C1::das preisinstrument::generated | t1 | C1 | das Preisinstrument | generated | Preisinstrumente allein reichen für die Verkehrswende nicht aus.
t1::C1::die marktkorrektur::original | t1 | C1 | die Marktkorrektur | original | Rekordspritpreise 2026: Marktkorrektur oder strukturelle Verkehrswende?
t1::C1::die marktkorrektur::generated | t1 | C1 | die Marktkorrektur | generated | Hohe Preise können eine Marktkorrektur auslösen.
t1::C1::entfachen::original | t1 | C1 | entfachen | original | El récord ha avivado de nuevo un conocido debate.
t1::C1::entfachen::generated | t1 | C1 | entfachen | generated | Die Krise hat die Diskussion über Energiepreise neu entfacht.
t1::C1::stagnieren::original | t1 | C1 | stagnieren | original | En las comarcas desfavorecidas el porcentaje eléctrico se estanca.
t1::C1::stagnieren::generated | t1 | C1 | stagnieren | generated | Das Wachstum stagniert in ländlichen Regionen.
t1::C1::vertiefen::original | t1 | C1 | vertiefen | original | Una transición que ahonda esta brecha no es sostenible.
t1::C1::vertiefen::generated | t1 | C1 | vertiefen | generated | Hohe Preise vertiefen die soziale Ungleichheit.
t1::C1::verbinden::original | t1 | C1 | verbinden | original | Una política global que combina instrumentos de precios con inversiones en infraestructura.
t1::C1::verbinden::generated | t1 | C1 | verbinden | generated | Man muss Preisinstrumente mit sozialen Maßnahmen verbinden.
t1::C1::verteilungspolitisch::original | t1 | C1 | verteilungspolitisch | original | La respuesta es distributivamente compleja.
t1::C1::verteilungspolitisch::generated | t1 | C1 | verteilungspolitisch | generated | Das ist eine verteilungspolitisch heikle Frage.
t1::C1::einkommensschwach::original | t1 | C1 | einkommensschwach | original | Los altos precios perjudican a los hogares con pocos ingresos.
t1::C1::einkommensschwach::generated | t1 | C1 | einkommensschwach | generated | Einkommensschwache Haushalte können sich kein E-Auto leisten.
t1::C1::nachhaltig::original | t1 | C1 | nachhaltig | original | Una transición del transporte que profundiza esta brecha no es socialmente sostenible.
t1::C1::nachhaltig::generated | t1 | C1 | nachhaltig | generated | Eine sozial nachhaltige Lösung muss alle einschließen.
t1::C1::privilegiert::original | t1 | C1 | privilegiert | original | Sin este marco la transición del transporte sigue siendo un proyecto de los privilegiados.
t1::C1::privilegiert::generated | t1 | C1 | privilegiert | generated | Die Verkehrswende darf kein Projekt der Privilegierten bleiben.
t1::C1::wirksam::original | t1 | C1 | wirksam | original | ¿Son los altos precios de la energía el instrumento más eficaz?
t1::C1::wirksam::generated | t1 | C1 | wirksam | generated | Das ist das wirksamste Mittel zur Beschleunigung der Wende.
t1::C1::kurzfristig::original | t1 | C1 | kurzfristig | original | Muchos no tienen posibilidad de cambiar a corto plazo.
t1::C1::kurzfristig::generated | t1 | C1 | kurzfristig | generated | Ein kurzfristiger Umstieg ist für viele nicht möglich.
t1::C1::wohlhabend::original | t1 | C1 | wohlhabend | original | El crecimiento se concentra en regiones prósperas.
t1::C1::wohlhabend::generated | t1 | C1 | wohlhabend | generated | Wohlhabende Haushalte profitieren mehr von der Verkehrswende.
t1::C1::rational::original | t1 | C1 | rational | original | Los altos precios de la gasolina abren un incentivo racional para cambiar.
t1::C1::rational::generated | t1 | C1 | rational | generated | Das ist eine rationale Entscheidung in dieser Situation.
t1::C1::strukturell::original | t1 | C1 | strukturell | original | Precios récord: ¿corrección de mercado o transición estructural del transporte?
t1::C1::strukturell::generated | t1 | C1 | strukturell | generated | Das ist ein strukturelles Problem, kein kurzfristiges.
t2::A2::german::original | t2 | A2 | german | original | example_sentence_de
t2::A2::german::generated | t2 | A2 | german | generated | example_sentence_de_generated
t2::A2::der fussballverein::original | t2 | A2 | der Fußballverein | original | Der SC Freiburg ist ein Fußballverein aus Baden-Württemberg.
t2::A2::der fussballverein::generated | t2 | A2 | der Fußballverein | generated | Der Fußballverein hat viele treue Fans.
t2::A2::der wettbewerb::original | t2 | A2 | der Wettbewerb | original | Die Europa League ist ein wichtiger Wettbewerb in Europa.
t2::A2::der wettbewerb::generated | t2 | A2 | der Wettbewerb | generated | Das ist ein großer Wettbewerb für kleine Vereine.
t2::A2::das spiel::original | t2 | A2 | das Spiel | original | Das Spiel war spannend und wichtig für die nächste Runde.
t2::A2::das spiel::generated | t2 | A2 | das Spiel | generated | Das Spiel beginnt um 20 Uhr.
t2::A2::das stadion::original | t2 | A2 | das Stadion | original | Viele Fans haben das Spiel im Stadion gesehen.
t2::A2::das stadion::generated | t2 | A2 | das Stadion | generated | Das Stadion war voll mit Fans.
t2::A2::der fan::original | t2 | A2 | der Fan | original | Viele Fans haben das Spiel im Stadion gesehen.
t2::A2::der fan::generated | t2 | A2 | der Fan | generated | Die Fans sind sehr stolz auf ihren Verein.
t2::A2::die runde::original | t2 | A2 | die Runde | original | Das Spiel war wichtig für die nächste Runde.
t2::A2::die runde::generated | t2 | A2 | die Runde | generated | Freiburg kommt in die nächste Runde.
t2::A2::spielen::original | t2 | A2 | spielen | original | Freiburg jugó contra el Celta Vigo.
t2::A2::spielen::generated | t2 | A2 | spielen | generated | Der Verein spielt heute in Europa.
t2::A2::sehen::original | t2 | A2 | sehen | original | Muchos aficionados vieron el partido.
t2::A2::sehen::generated | t2 | A2 | sehen | generated | Ich habe das Spiel im Fernsehen gesehen.
t2::A2::spannend::original | t2 | A2 | spannend | original | El partido fue emocionante e importante.
t2::A2::spannend::generated | t2 | A2 | spannend | generated | Das war ein sehr spannendes Spiel.
t2::A2::stolz::original | t2 | A2 | stolz | original | Los aficionados están muy orgullosos.
t2::A2::stolz::generated | t2 | A2 | stolz | generated | Die Fans sind stolz auf ihren kleinen Verein.
t2::A2::wichtig::original | t2 | A2 | wichtig | original | El partido fue importante para la siguiente ronda.
t2::A2::wichtig::generated | t2 | A2 | wichtig | generated | Das ist ein sehr wichtiges Spiel für den Verein.
t2::A2::klein::original | t2 | A2 | klein | original | Freiburg es un club pequeño pero juega muy bien.
t2::A2::klein::generated | t2 | A2 | klein | generated | Es ist ein kleiner Verein mit großem Herz.
t2::A2::gut::original | t2 | A2 | gut | original | Freiburg juega muy bien.
t2::A2::gut::generated | t2 | A2 | gut | generated | Der Verein spielt gut, obwohl er klein ist.
t2::A2::nächst-::original | t2 | A2 | nächst- | original | El partido fue importante para la siguiente ronda.
t2::A2::nächst-::generated | t2 | A2 | nächst- | generated | In der nächsten Runde spielt Freiburg auswärts.
t2::A2::historisch::original | t2 | A2 | historisch | original | Es un partido histórico para el club.
t2::A2::historisch::generated | t2 | A2 | historisch | generated | Das ist ein historischer Moment für Freiburg.
t2::B1::german::original | t2 | B1 | german | original | example_sentence_de
t2::B1::german::generated | t2 | B1 | german | generated | example_sentence_de_generated
t2::B1::das viertelfinale::original | t2 | B1 | das Viertelfinale | original | Zum zweiten Mal hat sich der Verein für ein europäisches Viertelfinale qualifiziert.
t2::B1::das viertelfinale::generated | t2 | B1 | das Viertelfinale | generated | Das Viertelfinale ist die wichtigste Runde der Saison für Freiburg.
t2::B1::das hinspiel::original | t2 | B1 | das Hinspiel | original | Der SC Freiburg hat das Viertelfinal-Hinspiel gegen Celta Vigo bestritten.
t2::B1::das hinspiel::generated | t2 | B1 | das Hinspiel | generated | Das Hinspiel fand in Freiburg statt.
t2::B1::das rückspiel::original | t2 | B1 | das Rückspiel | original | Das Rückspiel findet in zwei Wochen in Vigo statt.
t2::B1::das rückspiel::generated | t2 | B1 | das Rückspiel | generated | Das Rückspiel in Vigo wird schwierig.
t2::B1::der aussenseiter::original | t2 | B1 | der Außenseiter | original | Freiburg gilt als Außenseiter.
t2::B1::der aussenseiter::generated | t2 | B1 | der Außenseiter | generated | Als Außenseiter hat Freiburg nichts zu verlieren.
t2::B1::das talent::original | t2 | B1 | das Talent | original | Besonderes Augenmerk lag auf dem 20-jährigen Talent Johan Manzambi.
t2::B1::das talent::generated | t2 | B1 | das Talent | generated | Das junge Talent hat eine starke Saison gespielt.
t2::B1::die saison::original | t2 | B1 | die Saison | original | Für den SC Freiburg ist es eine historische Saison.
t2::B1::die saison::generated | t2 | B1 | die Saison | generated | In dieser Saison hat der Verein alle überrascht.
t2::B1::die leistung::original | t2 | B1 | die Leistung | original | Johan Manzambi hat mit starken Leistungen auf sich aufmerksam gemacht.
t2::B1::die leistung::generated | t2 | B1 | die Leistung | generated | Seine Leistungen in dieser Saison sind beeindruckend.
t2::B1::bestreiten::original | t2 | B1 | bestreiten | original | El SC Freiburg disputó el partido de ida contra el Celta de Vigo.
t2::B1::bestreiten::generated | t2 | B1 | bestreiten | generated | Der Verein hat das Spiel gegen einen starken Gegner bestritten.
t2::B1::qualifizieren::original | t2 | B1 | qualifizieren | original | Por segunda vez el club se ha clasificado para unos cuartos de final.
t2::B1::qualifizieren::generated | t2 | B1 | qualifizieren | generated | Freiburg hat sich für das Viertelfinale qualifiziert.
t2::B1::mithalten::original | t2 | B1 | mithalten | original | Freiburg ha demostrado que puede competir con clubes grandes.
t2::B1::mithalten::generated | t2 | B1 | mithalten | generated | Der kleine Verein kann mit den Großen mithalten.
t2::B1::übertragen::original | t2 | B1 | übertragen | original | El partido fue retransmitido en directo por RTL.
t2::B1::übertragen::generated | t2 | B1 | übertragen | generated | Das Spiel wurde auf mehreren Sendern übertragen.
t2::B1::historisch::original | t2 | B1 | historisch | original | Para el SC Freiburg es una temporada histórica.
t2::B1::historisch::generated | t2 | B1 | historisch | generated | Das ist ein historischer Moment für den Verein.
t2::B1::europäisch::original | t2 | B1 | europäisch | original | Por segunda vez el club se ha clasificado para unos cuartos de final europeos.
t2::B1::europäisch::generated | t2 | B1 | europäisch | generated | Der Verein spielt auf europäischer Bühne.
t2::B1::live::original | t2 | B1 | live | original | El partido fue retransmitido en directo por RTL.
t2::B1::live::generated | t2 | B1 | live | generated | Das Spiel ist live im Fernsehen zu sehen.
t2::B1::stark::original | t2 | B1 | stark | original | Johan Manzambi ha llamado la atención con sus actuaciones destacadas.
t2::B1::stark::generated | t2 | B1 | stark | generated | Er hat eine sehr starke Saison gespielt.
t2::B2::german::original | t2 | B2 | german | original | example_sentence_de
t2::B2::german::generated | t2 | B2 | german | generated | example_sentence_de_generated
t2::B2::der provinzklub::original | t2 | B2 | der Provinzklub | original | Der SC Freiburg ist ein Provinzklub auf großer Bühne.
t2::B2::der provinzklub::generated | t2 | B2 | der Provinzklub | generated | Als Provinzklub hat Freiburg alle überrascht.
t2::B2::die nachwuchsförderung::original | t2 | B2 | die Nachwuchsförderung | original | Das Modell setzt auf Nachwuchsförderung statt Transferwahnsinn.
t2::B2::die nachwuchsförderung::generated | t2 | B2 | die Nachwuchsförderung | generated | Nachwuchsförderung ist der Schlüssel zum Erfolg in Freiburg.
t2::B2::die haushaltsführung::original | t2 | B2 | die Haushaltsführung | original | Das Modell steht für solide Haushaltsführung.
t2::B2::die haushaltsführung::generated | t2 | B2 | die Haushaltsführung | generated | Solide Haushaltsführung ermöglicht nachhaltigen Erfolg.
t2::B2::die kontinuität::original | t2 | B2 | die Kontinuität | original | Das Modell setzt auf Kontinuität im Trainerteam.
t2::B2::die kontinuität::generated | t2 | B2 | die Kontinuität | generated | Kontinuität ist ein Wettbewerbsvorteil für Freiburg.
t2::B2::die vorlage::original | t2 | B2 | die Vorlage | original | Johan Manzambi hat zwölf Tore und sieben Vorlagen erzielt.
t2::B2::die vorlage::generated | t2 | B2 | die Vorlage | generated | Er hat in dieser Saison sieben Vorlagen gegeben.
t2::B2::der kader::original | t2 | B2 | der Kader | original | Er ist der auffälligste Spieler im Kader von Trainer Brechtel.
t2::B2::der kader::generated | t2 | B2 | der Kader | generated | Der Kader des Vereins ist nicht der teuerste, aber einer der besten.
t2::B2::der halbfinaleinzug::original | t2 | B2 | der Halbfinaleinzug | original | Ein Halbfinaleinzug würde Millioneneinnahmen bedeuten.
t2::B2::der halbfinaleinzug::generated | t2 | B2 | der Halbfinaleinzug | generated | Der Halbfinaleinzug wäre historisch für den Verein.
t2::B2::aufschlagen::original | t2 | B2 | aufschlagen | original | Freiburg ha abierto otro capítulo de su historia.
t2::B2::aufschlagen::generated | t2 | B2 | aufschlagen | generated | Der Verein schlägt ein neues Kapitel in seiner Geschichte auf.
t2::B2::symbolisieren::original | t2 | B2 | symbolisieren | original | El club simboliza un modelo considerado anacrónico.
t2::B2::symbolisieren::generated | t2 | B2 | symbolisieren | generated | Freiburg symbolisiert nachhaltigen Fußball.
t2::B2::festhalten an::original | t2 | B2 | festhalten an | original | Freiburg sigue siendo fiel a su joven estrella.
t2::B2::festhalten an::generated | t2 | B2 | festhalten an | generated | Der Verein hält an seinem Modell fest.
t2::B2::bemerkenswert::original | t2 | B2 | bemerkenswert | original | El SC Freiburg tiene una notable historia europea.
t2::B2::bemerkenswert::generated | t2 | B2 | bemerkenswert | generated | Das ist eine bemerkenswerte Leistung für einen kleinen Verein.
t2::B2::auffällig::original | t2 | B2 | auffällig | original | Johan Manzambi es el jugador más destacado de la plantilla.
t2::B2::auffällig::generated | t2 | B2 | auffällig | generated | Er war der auffälligste Spieler des Abends.
t2::B2::anachronistisch::original | t2 | B2 | anachronistisch | original | El modelo se considera casi anacrónico en la economía del fútbol moderno.
t2::B2::anachronistisch::generated | t2 | B2 | anachronistisch | generated | Solide Haushaltsführung wirkt heute fast anachronistisch.
t2::B2::solide::original | t2 | B2 | solide | original | El modelo representa una gestión presupuestaria sólida.
t2::B2::solide::generated | t2 | B2 | solide | generated | Der Verein hat eine solide finanzielle Basis.
t2::B2::erheblich::original | t2 | B2 | erheblich | original | El partido tuvo también una importancia económica considerable.
t2::B2::erheblich::generated | t2 | B2 | erheblich | generated | Der Halbfinaleinzug wäre von erheblicher Bedeutung.
t2::C1::german::original | t2 | C1 | german | original | example_sentence_de
t2::C1::german::generated | t2 | C1 | german | generated | example_sentence_de_generated
t2::C1::der gegenentwurf::original | t2 | C1 | der Gegenentwurf | original | Das Vereinsprojekt repräsentiert einen strukturellen Gegenentwurf im europäischen Fußball.
t2::C1::der gegenentwurf::generated | t2 | C1 | der Gegenentwurf | generated | Freiburg gilt als Gegenentwurf zum Geldfußball.
t2::C1::die einnahmenstruktur::original | t2 | C1 | die Einnahmenstruktur | original | Freiburg hält die Personalkosten relativ zur Einnahmenstruktur niedrig.
t2::C1::die einnahmenstruktur::generated | t2 | C1 | die Einnahmenstruktur | generated | Die Einnahmenstruktur des Vereins ist auf Nachhaltigkeit ausgelegt.
t2::C1::der wettbewerbsvorteil::original | t2 | C1 | der Wettbewerbsvorteil | original | Freiburg setzt auf Trainerkontinuität als Wettbewerbsvorteil.
t2::C1::der wettbewerbsvorteil::generated | t2 | C1 | der Wettbewerbsvorteil | generated | Kontinuität ist ihr wichtigster Wettbewerbsvorteil.
t2::C1::die blaupause::original | t2 | C1 | die Blaupause | original | Was Freiburg zeigt, ist keine Blaupause für alle.
t2::C1::die blaupause::generated | t2 | C1 | die Blaupause | generated | Das Freiburg-Modell ist keine Blaupause für jeden Verein.
t2::C1::die geduldigkeit::original | t2 | C1 | die Geduldigkeit | original | Das Ergebnis ist die Frucht institutioneller Geduldigkeit.
t2::C1::die geduldigkeit::generated | t2 | C1 | die Geduldigkeit | generated | Institutionelle Geduldigkeit ist im modernen Fußball selten.
t2::C1::der marktwert::original | t2 | C1 | der Marktwert | original | Sein Marktwert wird auf über 40 Millionen Euro geschätzt.
t2::C1::der marktwert::generated | t2 | C1 | der Marktwert | generated | Der Marktwert von Manzambi ist in dieser Saison explodiert.
t2::C1::der petrodollar::original | t2 | C1 | der Petrodollar | original | Strukturelle Klugheit kann auch ohne Petrodollar wettbewerbsfähig sein.
